Feature_set,Model,MAE,RMSE,DA,R2
Full (111f),Naive (zero),0.0162,0.0208,0.0,-0.057
Full (111f),Ridge,0.0155,0.0208,0.5714,-0.0577
Full (111f),Random Forest,0.0158,0.0215,0.5,-0.1343
Full (111f),SVM,0.0143,0.0209,0.5714,-0.0657
Full (111f),XGBoost,0.0161,0.0208,0.5714,-0.0592
