Feature_set,Model,MAE,RMSE,DA,R2
Lag (2f),Naive (zero),0.0162,0.0208,0.0,-0.057
Lag (2f),Ridge,0.0161,0.0204,0.5,-0.0215
Lag (2f),Random Forest,0.017,0.0201,0.5714,0.0073
Lag (2f),SVM,0.0163,0.02,0.5714,0.0245
Lag (2f),XGBoost,0.0162,0.02,0.5714,0.0165
